,state,Republicans_system,Democrats_system
0,Alabama,primaries,primaries
1,Alaska,caucuses,caucuses
2,American Samoa,caucuses,caucuses
3,Arizona,primaries,primaries
4,Arkansas,primaries,primaries
5,California,primaries,primaries
6,Colorado,caucuses,caucuses
7,Connecticut,primaries,primaries
8,Delaware,primaries,primaries
9,Democrats Abroad,convention,convention
10,District of Columbia,convention,primaries
11,Florida,primaries,primaries
12,Georgia,primaries,primaries
13,Guam,caucuses,caucuses
14,Hawaii,caucuses,caucuses
15,Idaho,primaries,caucuses
16,Illinois,primaries,primaries
17,Indiana,primaries,primaries
18,Iowa,caucuses,caucuses
19,Kansas,caucuses,caucuses
20,Kentucky,caucuses,primaries
21,Louisiana,primaries,primaries
22,Maine,caucuses,caucuses
23,Maryland,primaries,primaries
24,Massachusetts,primaries,primaries
25,Michigan,primaries,primaries
26,Minnesota,caucuses,caucuses
27,Mississippi,primaries,primaries
28,Missouri,primaries,primaries
29,Montana,primaries,primaries
30,Nebraska,primaries,caucuses
31,Nevada,caucuses,caucuses
32,New Hampshire,primaries,primaries
33,New Jersey,primaries,primaries
34,New Mexico,primaries,primaries
35,New York,primaries,primaries
36,North Carolina,primaries,primaries
37,North Dakota,caucuses,caucuses
38,Northern Marianas,caucuses,convention
39,Ohio,primaries,primaries
40,Oklahoma,primaries,primaries
41,Oregon,primaries,primaries
42,Pennsylvania,primaries,primaries
43,Puerto Rico,primaries,primaries
44,Rhode Island,primaries,primaries
45,South Carolina,primaries,primaries
46,South Dakota,primaries,primaries
47,Tennessee,primaries,primaries
48,Texas,primaries,primaries
49,Utah,caucuses,caucuses
50,Vermont,primaries,primaries
51,Virgin Islands,caucuses,caucuses
52,Virginia,primaries,primaries
53,Washington,primaries,caucuses
54,West Virginia,primaries,primaries
55,Wisconsin,primaries,primaries
56,Wyoming,convention,caucuses
